0.000,7.782,-0.226,0.843,-0.701,4.394,0.078,4.568,1.141,6.370,1.381,2.387,0.543,6.931,-1.311,2.542,-0.833,3.437,0.859,6.012,-0.354,-0.006,4.973
0.050,7.761,-0.221,0.778,-0.701,4.375,0.083,4.558,1.144,6.354,1.380,2.358,0.536,6.894,-1.327,2.501,-0.840,3.421,0.872,5.993,-0.368,-0.018,4.918
0.100,7.730,-0.221,0.713,-0.701,4.342,0.089,4.542,1.149,6.334,1.371,2.321,0.547,6.839,-1.334,2.443,-0.841,3.380,0.891,5.956,-0.380,-0.028,4.859
0.150,7.689,-0.224,0.648,-0.701,4.298,0.093,4.512,1.164,6.302,1.357,2.284,0.558,6.776,-1.337,2.378,-0.841,3.327,0.913,5.907,-0.387,-0.035,4.795
0.200,7.639,-0.235,0.583,-0.701,4.247,0.097,4.471,1.176,6.258,1.351,2.247,0.569,6.711,-1.339,2.313,-0.841,3.269,0.932,5.850,-0.392,-0.042,4.730
0.250,7.580,-0.240,0.518,-0.701,4.190,0.103,4.424,1.182,6.203,1.345,2.210,0.580,6.646,-1.341,2.248,-0.841,3.208,0.951,5.787,-0.394,-0.049,4.665
0.300,7.516,-0.241,0.453,-0.701,4.132,0.108,4.375,1.183,6.143,1.340,2.173,0.591,6.581,-1.341,2.183,-0.841,3.148,0.969,5.722,-0.394,-0.056,4.601
0.350,7.451,-0.241,0.388,-0.701,4.073,0.113,4.322,1.183,6.082,1.337,2.136,0.602,6.516,-1.341,2.118,-0.841,3.087,0.986,5.657,-0.394,-0.063,4.536
0.400,7.386,-0.241,0.323,-0.701,4.013,0.117,4.267,1.182,6.020,1.336,2.099,0.614,6.451,-1.341,2.053,-0.841,3.026,1.003,5.592,-0.394,-0.070,4.472
0.450,7.321,-0.241,0.258,-0.701,3.954,0.121,4.211,1.181,5.956,1.336,2.062,0.625,6.386,-1.341,1.988,-0.841,2.965,1.020,5.527,-0.394,-0.077,4.407
0.500,7.256,-0.241,0.193,-0.701,3.894,0.126,4.154,1.179,5.891,1.336,2.025,0.636,6.321,-1.341,1.923,-0.841,2.905,1.037,5.462,-0.394,-0.084,4.342
0.550,7.191,-0.241,0.128,-0.701,3.835,0.130,4.096,1.178,5.826,1.336,1.989,0.647,6.256,-1.341,1.858,-0.841,2.844,1.054,5.397,-0.394,-0.091,4.278
0.600,7.126,-0.241,0.063,-0.701,3.775,0.134,4.037,1.176,5.761,1.336,1.952,0.658,6.191,-1.341,1.793,-0.841,2.783,1.071,5.332,-0.394,-0.098,4.213
0.650,7.061,-0.241,-0.002,-0.701,3.716,0.138,3.979,1.175,5.696,1.336,1.915,0.669,6.126,-1.341,1.728,-0.841,2.722,1.088,5.267,-0.394,-0.105,4.148
0.700,6.996,-0.241,-0.067,-0.701,3.656,0.142,3.921,1.174,5.631,1.336,1.878,0.680,6.061,-1.341,1.663,-0.841,2.661,1.105,5.202,-0.394,-0.112,4.084
0.750,6.931,-0.241,-0.132,-0.701,3.596,0.146,3.862,1.172,5.566,1.336,1.841,0.691,5.996,-1.341,1.598,-0.841,2.600,1.122,5.137,-0.394,-0.119,4.019
