0.000,7.787,-0.230,0.907,-0.701,4.400,0.081,4.573,1.126,6.376,1.373,2.406,0.528,6.950,-1.296,2.547,-0.828,3.443,0.842,6.020,-0.340,0.000,4.999
0.050,7.784,-0.230,0.904,-0.701,4.397,0.081,4.570,1.126,6.373,1.373,2.403,0.528,6.948,-1.296,2.544,-0.828,3.441,0.842,6.018,-0.340,0.000,4.996
0.100,7.781,-0.230,0.901,-0.701,4.393,0.081,4.567,1.126,6.370,1.373,2.400,0.528,6.944,-1.296,2.540,-0.828,3.437,0.842,6.014,-0.340,0.000,4.993
0.150,7.776,-0.230,0.896,-0.701,4.388,0.081,4.562,1.126,6.365,1.373,2.395,0.528,6.939,-1.296,2.535,-0.828,3.432,0.842,6.009,-0.340,0.000,4.988
0.200,7.769,-0.230,0.889,-0.701,4.382,0.081,4.555,1.126,6.358,1.373,2.388,0.528,6.933,-1.296,2.529,-0.828,3.426,0.842,6.003,-0.340,0.000,4.981
0.250,7.762,-0.230,0.882,-0.701,4.375,0.081,4.548,1.126,6.351,1.373,2.381,0.528,6.925,-1.296,2.522,-0.828,3.418,0.842,5.995,-0.340,-0.000,4.974
0.300,7.753,-0.230,0.873,-0.701,4.366,0.081,4.539,1.126,6.342,1.373,2.372,0.528,6.916,-1.296,2.513,-0.828,3.410,0.842,5.987,-0.340,-0.000,4.965
0.350,7.743,-0.230,0.863,-0.701,4.356,0.081,4.529,1.126,6.332,1.373,2.362,0.528,6.906,-1.296,2.503,-0.828,3.400,0.842,5.977,-0.340,-0.000,4.955
0.400,7.732,-0.230,0.852,-0.701,4.345,0.081,4.518,1.126,6.321,1.373,2.351,0.528,6.895,-1.296,2.492,-0.828,3.388,0.842,5.965,-0.340,-0.000,4.944
0.450,7.719,-0.230,0.839,-0.701,4.332,0.081,4.505,1.126,6.308,1.373,2.338,0.528,6.883,-1.296,2.479,-0.828,3.376,0.842,5.953,-0.340,-0.000,4.931
0.500,7.706,-0.230,0.826,-0.701,4.318,0.081,4.492,1.126,6.295,1.373,2.325,0.528,6.869,-1.296,2.465,-0.828,3.362,0.842,5.939,-0.340,-0.000,4.918
0.550,7.691,-0.230,0.811,-0.701,4.303,0.081,4.477,1.126,6.280,1.373,2.310,0.528,6.854,-1.296,2.450,-0.828,3.347,0.842,5.924,-0.340,-0.000,4.903
0.600,7.674,-0.230,0.794,-0.701,4.287,0.081,4.460,1.126,6.263,1.373,2.293,0.528,6.838,-1.296,2.434,-0.828,3.331,0.842,5.908,-0.340,-0.000,4.886
0.650,7.657,-0.230,0.777,-0.701,4.270,0.081,4.443,1.126,6.246,1.373,2.276,0.528,6.820,-1.296,2.417,-0.828,3.313,0.842,5.890,-0.340,-0.000,4.869
0.700,7.638,-0.230,0.758,-0.701,4.251,0.081,4.424,1.126,6.227,1.373,2.257,0.528,6.801,-1.296,2.398,-0.828,3.295,0.842,5.872,-0.340,-0.000,4.850
